(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.00218679,0) | (-0.00240088,0)
(0.00824061,0) | (-0.00762766,0)
(-0.00304521,0) | (0.00478343,0)
(-0.00565502,0) | (-0.00129051,0)
(-0.00317728,0) | (0.00324227,0)
(-0.00540168,0) | (0.00543105,0)
(-0.000160362,0) | (-0.00120656,0)
(0.00162852,0) | (0.00318909,0)
(-0.00295037,0) | (0.000757671,0)
(0.0356452,0) | (-0.0331328,0)
(-0.00285723,0) | (0.00233398,0)
(0.0539222,0) | (-0.0287575,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(-0.00237915,0) | (-0.000246495,0)
(0.0382068,0) | (-0.0185931,0)
(0.00633276,0) | (-0.00425475,0)
(0.0210806,0) | (-0.0405932,0)
(-0.00515006,0) | (0.006648,0)
(-0.0506502,0) | (0.0820635,0)
(-0.0035863,0) | (0.00366413,0)
(0.0432416,0) | (-0.0217215,0)
(0.00030564,0) | (-0.0110802,0)
(-0.0365418,0) | (0.013725,0)
